Speaker A (Native Speaker) and Speaker B (Malay Speaker) are at a party, where they’ve just been introduced by a mutual friend. They start a conversation to get to know each other better.
**Speaker B (L2, Malay):**
**Speaker B (L2, Malay):**
**Speaker B (L2, Malay):**
**Speaker B (L2, Malay):**
**Speaker B (L2, Malay):**
**Speaker B (L2, Malay):**
**Speaker B (L2, Malay):**
**Speaker B (L2, Malay):**
**Speaker B (L2, Malay):**
**Speaker B (L2, Malay):**
**Speaker B (L2, Malay):**
**Speaker B (L2, Malay):**
